14916641;556;553;491;660;555;656
14916642;706;610;696;629;550;564
16170579;618;545;583;650;621;661
18678455;679;603;689;563;643;516
14916643;631;533;619;625;634;487
17424517;490;732;495;647;560;583
14916644;479;609;688;603;490;750
18678456;485;543;483;502;659;550
16170580;661;518;622;493;680;539
17424518;639;654;500;583;714;724
14916645;547;542;622;495;563;710
18678457;692;659;658;625;625;617
16170581;662;529;540;588;525;593
17424519;540;738;732;529;588;601
14916646;520;529;555;510;664;501
18678458;519;560;522;736;626;538
16170582;557;562;626;661;749;690
17424520;535;600;587;735;608;625
14916647;708;689;633;628;630;516
18678459;582;540;521;554;490;535
16170583;700;549;573;591;740;567
17424521;501;533;638;553;499;503
14916648;485;712;541;695;664;681
18678460;697;526;658;649;652;622
16170584;667;602;614;686;488;684
17424522;674;503;551;543;634;544
14916649;529;545;584;478;576;546
18678461;548;708;507;550;679;720
16170585;566;665;669;522;658;668
17424523;553;572;569;594;641;535
14916650;740;710;706;694;630;499
18678462;712;673;660;601;622;605
16170586;699;620;673;649;608;544
17424524;740;636;485;507;734;518
14916651;660;522;524;626;545;718
18678463;485;506;703;707;667;705
16170587;661;727;581;633;686;672
17424525;552;603;740;540;538;714
14916652;481;489;725;722;688;619
18678464;691;726;628;579;734;554
16170588;557;736;582;561;573;692
17424526;608;532;725;626;495;660
14916653;655;731;665;619;595;653
18678465;590;736;551;727;689;709
16170589;623;559;678;655;706;691
17424527;616;742;646;492;613;712
14916654;740;480;574;577;637;497
18678466;744;620;554;638;476;692
16170590;540;574;541;666;631;545
17424528;533;617;640;505;610;556
14916655;643;527;705;652;720;678
18678467;475;539;486;719;539;535
16170591;622;618;526;543;601;536
17424529;627;749;750;558;653;494
14916656;674;505;541;492;705;525
18678468;686;537;728;556;647;610
16170592;528;476;677;709;647;531
17424530;739;628;487;527;684;691
14916657;494;549;495;736;641;632
18678469;663;708;506;743;663;589
16170593;525;545;486;540;701;488
17424531;622;510;504;661;521;643
14916658;501;680;639;482;558;486
18678470;650;711;477;745;623;558
16170594;655;665;619;673;622;538
17424532;492;608;578;668;551;574
14916659;638;529;497;616;635;650
18678471;702;740;570;651;726;675
16170595;725;488;478;475;723;493
17424533;490;572;495;527;555;697
14916660;656;636;611;546;650;720
18678472;641;735;649;484;693;600
16170596;586;654;686;707;481;501
17424534;744;548;582;566;710;678
14916661;484;565;549;626;485;634
18678473;526;721;626;569;629;613
16170597;506;537;628;592;660;650
17424535;643;484;585;502;547;681
14916662;663;636;728;575;553;636
18678474;683;742;555;695;705;687
16170598;734;575;570;619;548;571
17424536;587;552;741;494;590;605
14916663;516;703;630;484;522;509
18678475;557;698;579;506;716;557
16170599;528;656;715;719;489;655
17424537;682;529;596;557;555;725
14916664;598;521;551;558;743;661
18678476;484;607;666;647;745;491
16170600;717;712;567;666;606;667
17424538;648;570;486;520;663;736
14916665;587;677;570;509;568;645
18678477;729;565;691;577;551;711
16170601;686;527;697;539;746;528
17424539;510;573;743;583;677;502
14916666;678;513;539;614;526;560
18678478;480;642;549;510;523;656
16170602;544;546;584;583;719;671
17424540;532;542;609;614;582;635
14916667;600;577;687;680;499;684
18678479;480;489;575;734;537;569
